Time,Size,Location,County,State,Lat,Lon,Comments
1358,100,JEFFERSON CITY,COLE,MO,38.57,-92.19,(LSX)
1858,100,LINO LAKES,ANOKA,MN,45.16,-93.08,(MPX)
1905,125,4 ENE MINNEAPOLIS,RAMSEY,MN,44.98,-93.2,NEAR INTERSECTION OF COMO AND EUSTICE. (MPX)
1905,125,5 ENE MINNEAPOLIS,RAMSEY,MN,45,-93.17,REPORTED IN ROSEVILLE NEAR INTERSECTION OF 35W AND CO RD C. (MPX)
1909,100,ROSEVILLE,RAMSEY,MN,45.02,-93.15,REPORTED NEAR CITY HALL (MPX)
1910,125,ROSEVILLE,RAMSEY,MN,45.02,-93.15,(MPX)
1910,100,ARDEN HILLS,RAMSEY,MN,45.07,-93.17,QUARTER SIZED HAIL COVERING THE GROUND. (MPX)
1914,100,SHOREVIEW,RAMSEY,MN,45.08,-93.14,NICKEL TO QUARTER SIZED HAIL (MPX)
1915,100,1 NNE SHOREVIEW,RAMSEY,MN,45.1,-93.13,TIME ESTIMATED. FROM NOAA SHAVE PROJECT. (MPX)
1929,100,4 WNW TREGO,WASHBURN,WI,45.92,-91.9,MEASURED 1.125 INCH HAIL. (DLH)
1951,175,5 NW SPOONER,WASHBURN,WI,45.88,-91.97,GROUND COVERED WITH HAIL. (DLH)
2000,100,RICHFIELD,HENNEPIN,MN,44.88,-93.28,REPORTED AT HWY 494 AND NICOLLET AVE. TIME ESTIMATED. (MPX)
2000,100,EDINA,HENNEPIN,MN,44.89,-93.36,REPORTED AT 76TH AND NORTH AVE. TIME ESTIMATED. (MPX)
2000,100,SOLON SPRINGS,DOUGLAS,WI,46.35,-91.82,(DLH)
2000,100,2 N SOLON SPRINGS,DOUGLAS,WI,46.38,-91.82,(DLH)
2012,100,DURAND,PEPIN,WI,44.63,-91.96,(MPX)
2013,175,5 SW KELLOGG,WABASHA,MN,44.26,-92.07,BETWEEN PLAINVIEW AND KELLOGG (ARX)
2053,100,NORTH BRANCH,CHISAGO,MN,45.51,-92.98,(MPX)
2119,100,4 W SEDALIA,PETTIS,MO,38.71,-93.3,(EAX)
2123,100,ALTOONA,EAU CLAIRE,WI,44.81,-91.44,(MPX)
2125,100,ADRIAN,BATES,MO,38.4,-94.35,LOTS OF DIME SIZED HAIL MIXED IN. (EAX)
2130,125,3 S INDEPENDENCE,TREMPEALEAU,WI,44.32,-91.42,(ARX)
2133,100,INDEPENDENCE,TREMPEALEAU,WI,44.36,-91.42,LARGEST SIZED HAIL AT POST OFFICE (ARX)
2136,100,3 NE INDEPENDENCE,TREMPEALEAU,WI,44.39,-91.38,(ARX)
2159,125,2 NE GREENFIELD,BLAINE,OK,35.75,-98.35,A FEW QUARTER TO HALF DOLLAR HAIL STONES (OUN)
2211,175,3 SE BALDWIN,ST. CROIX,WI,44.93,-92.34,LOCATED NEAR MM 19 ON I-94. (MPX)
2214,125,3 W FAIRCHILD,EAU CLAIRE,WI,44.61,-91.02,(MPX)
2226,100,5 S COLUMBIA,BOONE,MO,38.88,-92.33,(LSX)
2228,100,THAYER,NEOSHO,KS,37.49,-95.47,(ICT)
2236,125,10 W FULTON,CALLAWAY,MO,38.85,-92.13,(LSX)
2246,175,10 SSW STOVER,MORGAN,MO,38.31,-93.06,(SGF)
2251,100,4 E PERKINSTOWN,TAYLOR,WI,45.2,-90.55,HAIL WAS CLEAR COMPARED TO EARLIER STORM (ARX)
2257,100,GIRARD,CRAWFORD,KS,37.51,-94.84,(SGF)
2303,175,1 N BOYCEVILLE,DUNN,WI,45.06,-92.04,AT CR N AND HWY 79 (MPX)
2310,250,2 S GIRARD,CRAWFORD,KS,37.48,-94.84,(SGF)
2313,100,MENOMONIE,DUNN,WI,44.89,-91.91,(MPX)
2330,250,6 ESE LAWTON,COMANCHE,OK,34.57,-98.33,(OUN)
2330,175,CANEY,MONTGOMERY,KS,37.01,-95.93,(ICT)
2335,100,LAKE TOMAHAWK,ONEIDA,WI,45.81,-89.59,(GRB)
2338,100,LINN,OSAGE,MO,38.48,-91.84,(LSX)
2345,100,7 NW OKLAHOMA CITY,OKLAHOMA,OK,35.54,-97.6,HEFNER AND COUNCIL RD (OUN)
2358,100,RHINELANDER,ONEIDA,WI,45.63,-89.41,(GRB)
0000,100,PERSHING,GASCONADE,MO,38.58,-91.61,(LSX)
0000,100,4 W BLOOMER,CHIPPEWA,WI,45.1,-91.57,(MPX)
0002,175,RHINELANDER,ONEIDA,WI,45.63,-89.41,(GRB)
0015,175,3 N STOCKTON,CEDAR,MO,37.74,-93.8,(SGF)
